business_type,location,monthly_kwh,monthly_bill_ngn,operating_hours_per_day,roof_size_sqm,avg_sun_hours,recommended_system_size_kw,installation_cost_ngn,annual_savings_ngn,roi_percent,payback_years
Welding Shop/Technical Services,Lagos,1498.58445829775,149858.445829775,10.924595076427558,465.55312619867675,5.0,12.808414173485042,10090767.958390282,1798301.3499573001,17.82125361887889,5.611277530670754
Small Manufacturing Plant,Lagos,3300.7935792206786,330079.35792206787,6.923758917945516,209.36329910257243,5.0,28.211910933510072,15318539.69546611,3960952.2950648144,25.857244710063014,3.8673880810310157
Welding Shop/Technical Services,Port Harcourt,1322.4425745080089,132244.25745080088,17.156371828110878,494.4662087604293,4.8,11.773883320049936,9871785.086257594,1586931.0894096107,16.075421775730923,6.220676595308379
Salon/Personal Services,Ibadan,561.7124417317752,56171.244173177525,16.45752708225261,492.01964229451295,5.3,4.529208528719361,3597492.3365387423,674054.9300781303,18.736799609882123,5.337090756270789
Welding Shop/Technical Services,Abuja,1373.1401177720718,137314.01177720717,16.710707981879732,346.6382330536079,5.5,10.66930938439838,6238203.416710728,1647768.1413264861,26.41414572843986,3.785850242066733
Small Manufacturing Plant,Lagos,5326.040543074219,532604.0543074219,16.753095599081917,224.90191123452513,5.0,45.5217140433694,25406324.297744654,6391248.651689063,25.15613268880623,3.975173816939564
Other,Kaduna,487.08827169705046,48708.827169705044,8.7352219505033,284.909283744441,6.0,3.469289684451926,2173568.755307915,584505.9260364606,26.8915314783156,3.718642803242223
Agro-processing Unit,Ibadan,3545.0369148062327,354503.69148062327,16.328766999076123,53.82367179215488,5.3,28.58439699085819,25452354.144323315,4254044.297767479,16.71375572430602,5.983095699704092
Other,Kano,1168.2704143818619,116827.04143818619,11.008932037785348,172.15929575890164,6.2,8.052594529789507,4853561.477869123,1401924.4972582343,28.884449154515014,3.4620705233137086
Welding Shop/Technical Services,Kano,1239.7307346673656,123973.07346673656,10.051382056843536,568.6003371518856,6.2,8.545152568702546,5831646.920825452,1487676.8816008386,25.510407296576567,3.9199687734276103
Small Manufacturing Plant,Abuja,3631.210262072643,363121.02620726434,12.225487460920393,436.6604273923478,5.5,28.214531950836385,14446068.622487435,4357452.314487172,30.163585874873633,3.3152556998636005
Small Manufacturing Plant,Kano,3772.703608327529,377270.3608327529,17.661384992651527,579.3460122181611,6.2,26.004298375568847,17133998.46851659,4527244.329993035,26.4225792847581,3.7846418747500974
Welding Shop/Technical Services,Kaduna,1503.5645916507283,150356.45916507283,11.966982070708625,215.48307039922332,6.0,10.709149513181824,7801915.34264949,1804277.509980874,23.1260841824022,4.324121594095685
Welding Shop/Technical Services,Ibadan,1569.6809887549352,156968.0988754935,6.4426433682543935,385.26038368894325,5.3,12.656676251854016,11153693.985201856,1883617.186505922,16.887832757515202,5.921422922399518
Retail Store/Trading,Port Harcourt,602.1432185830893,60214.321858308926,6.617745014999873,203.2555553301363,4.8,5.36096170390927,3788561.711135925,722571.8622997071,19.072458557974983,5.243162526531529
Retail Store/Trading,Enugu,926.612708773323,92661.2708773323,8.87474268800367,129.6921796501727,5.1,7.7644771976983655,6426214.661478916,1111935.2505279875,17.30311402750572,5.779306536444019
Other,Lagos,1132.0696924718573,113206.96924718573,17.827805449327208,183.13039933132524,5.0,9.675809337366301,6955465.7697629025,1358483.6309662287,19.531166940277195,5.1200217737005715
Welding Shop/Technical Services,Ibadan,2344.2710948117574,234427.10948117575,15.139435383944612,180.7006491958198,5.3,18.902363286661483,9759554.899574554,2813125.313774109,28.824319784263324,3.4692926233282746
Agro-processing Unit,Port Harcourt,3320.540871529649,332054.0871529649,10.41339759263104,397.7682068264687,4.8,29.563220010057414,18506673.582798306,3984649.045835579,21.53087656735489,4.644492744509063
Other,Kano,1377.000508293521,137700.0508293521,12.429296208897101,99.65937352992457,6.2,9.491318640015997,6930748.828779752,1652400.6099522253,23.841588416689916,4.194351410327872
Other,Port Harcourt,1720.0142425017045,172001.42425017044,9.849360779660831,152.58518071991983,4.8,15.313517116290104,13479533.345316399,2064017.0910020452,15.31222957150226,6.53072758170443
Small Manufacturing Plant,Kaduna,2642.7129954416737,264271.29954416736,13.090715318258901,422.6603990132553,6.0,18.822742132775453,15879846.754402157,3171255.5945300083,19.970316109321924,5.007432003208057
Small Manufacturing Plant,Lagos,2558.0574012474967,255805.74012474966,12.145116699591371,174.57267635886586,5.0,21.863738472200826,12928952.206926461,3069668.8814969957,23.742595937917336,4.211839356634894
Salon/Personal Services,Abuja,569.3623137661424,56936.23137661424,8.092397148059897,430.01575595635626,5.5,4.423949601912527,2601476.7189123887,683234.7765193708,26.26334387512851,3.8075882673379002
Agro-processing Unit,Kano,2466.8383657513436,246683.83657513437,17.240759864840815,125.63651928029628,6.2,17.00329725497204,9869890.131286968,2960206.038901612,29.992289676233924,3.334190256212436
Salon/Personal Services,Kaduna,371.69312818266803,37169.3128182668,7.361682254887069,558.5814900532096,6.0,2.647386952868006,2300578.0932765556,446031.7538192016,19.387811920957187,5.157879620851147
Retail Store/Trading,Abuja,901.8714827047849,90187.14827047849,9.095299532581867,412.99122531879846,5.5,7.007548428164606,5893813.958449153,1082245.779245742,18.362401441163144,5.445910782444239
Agro-processing Unit,Enugu,3543.0555005030396,354305.550050304,12.662409739193548,341.30781809580355,5.1,29.68875063267169,24046503.712154463,4251666.6006036475,17.681017795758038,5.655783007242469
Welding Shop/Technical Services,Port Harcourt,1483.7045818009033,148370.45818009033,7.11723321367079,543.4686668743298,4.8,13.20962056446673,8679963.018731184,1780445.498161084,20.512132301933992,4.875163563106088
Small Manufacturing Plant,Kano,5651.4632000716565,565146.3200071657,13.597217487279215,236.46638507678537,6.2,38.954116350094125,27336140.031045694,6781755.840085988,24.808754390283113,4.03083518127646
Bakery/Food Processing,Enugu,1393.6562768415235,139365.62768415236,14.711468146442872,543.4106429739174,5.1,11.67803148015354,8008008.033257737,1672387.5322098285,20.88393924262192,4.788368652017073
Welding Shop/Technical Services,Ibadan,2774.1728485302347,277417.2848530235,15.358506550291487,403.1174053848583,5.3,22.36875381817638,13451656.863483146,3329007.4182362817,24.74793590128997,4.040741029832212
Bakery/Food Processing,Port Harcourt,943.037940491583,94303.7940491583,7.939544569135365,544.2048036898937,4.8,8.395993059932184,5894081.3181805555,1131645.5285898997,19.199693175241556,5.20841656620598
Welding Shop/Technical Services,Kano,2212.85811931918,221285.811931918,6.110364619399556,105.80934857631766,6.2,15.25267520898249,7812399.180248547,2655429.743183016,33.989939350468966,2.942047026589363
Retail Store/Trading,Port Harcourt,730.8014152864447,73080.14152864447,6.060739006154624,138.44442827962428,4.8,6.506422856894984,3596257.0392073854,876961.6983437336,24.385400953904444,4.100814261329116
Retail Store/Trading,Kano,638.9870314932689,63898.70314932689,14.30274237231232,408.5786927264303,6.2,4.40437711258112,3764138.5265381783,766784.4377919226,20.370781584840415,4.9089918118025615
Small Manufacturing Plant,Port Harcourt,3284.9425831119593,328494.25831119594,14.54615065617043,180.48699812324003,4.8,29.24628368155234,23416677.722489845,3941931.099734351,16.833861517205925,5.940407665691546
Salon/Personal Services,Kano,361.50980380352405,36150.980380352405,14.95789686141629,407.29809447596807,6.2,2.4917962765613733,1667378.9091482325,433811.7645642288,26.017587375255825,3.843553922109841
Agro-processing Unit,Abuja,3623.058526235445,362305.85262354446,13.89135470760412,362.5697318345094,5.5,28.151192900042304,19898956.29281323,4347670.231482534,21.848735016583518,4.576924015239258
Bakery/Food Processing,Kaduna,959.2471053077572,95924.71053077573,10.412589636713202,195.861302224949,6.0,6.832244339798841,4427291.287632193,1151096.5263693088,26.00001787966698,3.846151201234514
Small Manufacturing Plant,Port Harcourt,3353.9637518267928,335396.3751826793,17.676126657029346,266.2037485667182,4.8,29.8607883887713,23778502.53676443,4024756.5021921513,16.92603012308867,5.908059909664863
Retail Store/Trading,Lagos,913.6372441416906,91363.72441416906,13.573663511967155,487.1462169479066,5.0,7.808865334544365,6353877.499151988,1096364.6929700286,17.255049268991314,5.7954050690372645
Small Manufacturing Plant,Ibadan,4259.229825868172,425922.98258681723,12.92284661551631,320.8847316003751,5.3,34.343088420159425,27656972.52085783,5111075.791041806,18.480243226865227,5.411184191267965
Agro-processing Unit,Ibadan,1988.1074694951112,198810.7469495111,14.669425383138064,204.4247993424707,5.3,16.030539183156836,12648811.819245296,2385728.9633941334,18.86128908775623,5.301864550971482
Salon/Personal Services,Kaduna,165.805378180445,16580.5378180445,13.745667550886013,147.41087367387692,6.0,1.1809499870402065,687078.7519716725,198966.45381653402,28.95831856909718,3.4532391706856496
Agro-processing Unit,Abuja,3851.1464608822857,385114.64608822856,17.44714292403105,553.1754146212467,5.5,29.92343792449328,19007008.43990454,4621375.753058743,24.3140616666236,4.112846359079199
Retail Store/Trading,Kaduna,496.1269602043555,49612.69602043555,6.185479398346409,560.5752094232489,6.0,3.5336678077233294,2430944.979144695,595352.3522452266,24.490572898720878,4.083203786760861
Welding Shop/Technical Services,Kano,1856.3682966346287,185636.82966346288,17.599857828524037,579.990987399089,6.2,12.795480401396668,8090802.296191111,2227641.9559615543,27.533016806136224,3.632003013113812
Retail Store/Trading,Abuja,882.407564373888,88240.7564373888,9.533386704835028,261.8037507310589,5.5,6.8563136314987405,5498599.529874146,1058889.0772486655,19.257432215160826,5.192800311210384
Agro-processing Unit,Lagos,3627.8416787921424,362784.1678792142,9.803064061875332,143.22101067735088,5.0,31.007193835830275,19588528.344688006,4353410.01455057,22.22428320262825,4.499582690170811
Small Manufacturing Plant,Kaduna,4448.804418604225,444880.44186042255,17.23385728992937,432.81638817123513,6.0,31.68664115814975,17595364.791278556,5338565.302325071,30.340748064349437,3.295897641940497
Salon/Personal Services,Enugu,520.5397605580872,52053.97605580872,7.166117925249223,388.2539746845434,5.1,4.361821355438974,2877127.9438908133,624647.7126697047,21.710807612711783,4.606000927457416
Welding Shop/Technical Services,Abuja,2980.1077002085267,298010.7700208527,7.681008182838289,335.0813088000552,5.5,23.155459986080235,20653877.768270083,3576129.240250232,17.314565721620227,5.77548415639052
Bakery/Food Processing,Abuja,2291.5342222775243,229153.42222775242,14.889223413050454,433.3586575473974,5.5,17.805238712335075,10511368.347352277,2749841.066733029,26.16063842369001,3.8225366820346434
Welding Shop/Technical Services,Port Harcourt,2404.9681679742184,240496.81679742184,10.313893814637062,211.47551434547134,4.8,21.411753632249095,15948832.971780717,2885961.8015690623,18.09512838133911,5.526349296483942
Welding Shop/Technical Services,Enugu,2618.7223109570273,261872.23109570274,15.721360736150169,526.889775219057,5.1,21.943374484305576,14772043.151850618,3142466.773148433,21.27306792191945,4.7007794252826836
Small Manufacturing Plant,Lagos,5696.3419339476495,569634.1933947649,12.136108786331253,325.83396207795977,5.0,48.68668319613376,25726521.84778093,6835610.320737179,26.570285564376796,3.7636027568356885
Welding Shop/Technical Services,Kano,2596.5903579335504,259659.03579335505,13.799567169333182,436.0817824917368,6.2,17.897645147046802,12441559.521402935,3115908.4295202605,25.044355767137016,3.992915646535381
Other,Enugu,1652.8475380413718,165284.75380413717,16.680064101810796,235.8973362683447,5.1,13.849903955432978,10814915.38280057,1983417.045649646,18.339644606040657,5.452668366706642
Agro-processing Unit,Abuja,2438.95738159986,243895.738159986,7.127783278090428,368.0540775478957,5.5,18.950717805748717,13365713.676548827,2926748.857919832,21.89743794268942,4.566744304138354
Agro-processing Unit,Abuja,1589.8556844918553,158985.56844918552,11.587176217589523,348.45454908916713,5.5,12.353191021692735,10485912.62950159,1907826.8213902263,18.194189564603573,5.496260201363846
Welding Shop/Technical Services,Ibadan,1573.0825042565689,157308.25042565688,13.089999126828129,66.77513746647719,5.3,12.684103404745757,7808014.501070289,1887699.0051078824,24.17642801315398,4.13626032537113
Salon/Personal Services,Kano,174.27632268698937,17427.632268698937,15.871206727915899,248.10485277619458,6.2,1.2012429189894496,642063.9420137631,209131.58722438724,32.571769498294664,3.070143303244106
Other,Enugu,516.0028715082042,51600.28715082042,12.266919120657652,473.496454204236,5.1,4.323804855942719,3781713.2038096995,619203.445809845,16.37362254721112,6.107383977593447
Welding Shop/Technical Services,Port Harcourt,1431.6420549936863,143164.20549936863,13.474685709828004,96.94110574657239,4.8,12.74610091696658,8301261.993489307,1717970.4659924237,20.695292683688706,4.832016706814514
Retail Store/Trading,Enugu,241.34537693488616,24134.537693488615,12.376255578817776,347.3493168855586,5.1,2.022334313179874,1477441.046594757,289614.4523218634,19.602437132051666,5.101406489731393
Salon/Personal Services,Kaduna,564.3294359738343,56432.943597383426,14.71309600467194,586.718643704394,6.0,4.019440427164062,3283083.967025242,677195.3231686011,20.62680485696498,4.848060603348044
Salon/Personal Services,Kaduna,485.59522639577693,48559.52263957769,9.875477675294952,487.35240712278704,6.0,3.4586554586593796,2178003.4188821297,582714.2716749323,26.75451593065052,3.737686761338035
Retail Store/Trading,Abuja,416.6658010096594,41666.58010096594,11.267657048467633,93.15100973824627,5.5,3.2374965113415644,2546180.3332294053,499998.96121159126,19.637217155684567,5.092371246251258
Other,Ibadan,343.09626380627776,34309.62638062778,17.5517809761351,509.7890662817132,5.3,2.766459150187693,1533081.861568416,411715.51656753337,26.85541632762707,3.7236436322577746
Welding Shop/Technical Services,Port Harcourt,2391.9484121873957,239194.84121873957,10.90743533297124,145.31187603896518,4.8,21.29583700309291,13129256.16574989,2870338.094624875,21.86215318208724,4.574114871811209
Salon/Personal Services,Enugu,251.68407773620595,25168.407773620595,9.002914777975144,352.07466558836626,5.1,2.1089666309385446,1176559.2765707963,302020.89328344713,25.66984080595737,3.895622133223059
Small Manufacturing Plant,Kaduna,5001.085729450218,500108.57294502185,13.922368520612775,203.96364332026857,6.0,35.62026872827791,29368634.56047788,6001302.875340262,20.434395283110536,4.893709777781001
Salon/Personal Services,Ibadan,770.6624324310761,77066.24324310762,14.854763000349223,354.8947288812704,5.3,6.214017355515852,3660427.162514557,924794.9189172913,25.26467206854614,3.958096100700923
Salon/Personal Services,Abuja,547.6184850523289,54761.84850523289,11.035200749133478,186.2520442256366,5.5,4.254999883856478,3348520.759899197,657142.1820627947,19.624850170634065,5.095580304079798
Small Manufacturing Plant,Kaduna,3745.9043752794155,374590.43752794154,15.09415332557243,57.91641874636573,6.0,26.680230593158228,23407082.79924735,4495085.2503352985,19.2039533028859,5.207261152055206
Other,Enugu,497.3234888617576,49732.34888617576,6.552031704261033,72.40084127543358,5.1,4.167282460715247,2963391.5783998924,596788.1866341091,20.138688082401508,4.965566753446391
Other,Kaduna,1754.2829928187123,175428.29928187124,14.443894312560284,310.79560599802886,6.0,12.494893111244389,8946489.36932177,2105139.591382455,23.530342511791808,4.249831890457472
Bakery/Food Processing,Port Harcourt,966.3180731067025,96631.80731067025,11.899390501401989,310.4094739293111,4.8,8.603259197887308,5888186.113052576,1159581.687728043,19.693359983264664,5.0778536565106
Retail Store/Trading,Enugu,338.56149592801216,33856.149592801215,11.206219790855677,269.1776039185554,5.1,2.836949019004627,1788287.9985438623,406273.7951136146,22.71858869737025,4.401681870827447
Other,Abuja,1346.945166688768,134694.5166688768,13.621123810411726,74.91720537462449,5.5,10.465774410946137,7224126.505909785,1616334.2000265217,22.374112616996115,4.469450999546534
Salon/Personal Services,Kano,393.4981995072063,39349.81995072063,13.510318988570837,326.7249422190482,6.2,2.712284253564973,2010136.2778614827,472197.83940864756,23.490837144186223,4.256978982324141
Agro-processing Unit,Ibadan,3641.224602970806,364122.4602970806,13.90432357942734,139.61393489478633,5.3,29.35997905959366,26259466.29454338,4369469.523564966,16.639597600934202,6.0097607164722335
Bakery/Food Processing,Port Harcourt,919.9668705807308,91996.68705807308,13.709031338475787,64.581220797892,4.8,8.190588235227303,7167631.464399637,1103960.244696877,15.402022972024346,6.492653606713628
Bakery/Food Processing,Abuja,1795.8184881648876,179581.84881648875,17.28276289709949,366.51079783173344,5.5,13.953523606564781,11788790.465687485,2154982.185797865,18.279926104973764,5.470481632460817
Welding Shop/Technical Services,Abuja,1776.339852413044,177633.98524130438,13.719458621308238,302.03908977033416,5.5,13.802174455423804,11809861.134689054,2131607.8228956526,18.049389392348488,5.5403536278292105
Other,Ibadan,1227.5485418370895,122754.85418370894,17.297577705318304,262.3564507904258,5.3,9.897988565046681,6801300.629079768,1473058.2502045073,21.658478731351348,4.6171294503360825
Small Manufacturing Plant,Lagos,5864.1669733837,586416.69733837,16.864207703472765,157.68512413411304,5.0,50.121085242595726,38241271.887186944,7037000.36806044,18.40158556655707,5.434314322442919
Salon/Personal Services,Ibadan,195.08484556885753,19508.484556885753,7.20933601652912,60.02200410835235,5.3,1.5730111721404412,1349685.5680661397,234101.81468262902,17.34491500994972,5.765378495232527
Agro-processing Unit,Port Harcourt,1736.107401889821,173610.7401889821,14.196081280996282,89.15375665312595,4.8,15.45679666924698,10157902.364822049,2083328.8822677853,20.509439916282187,4.875803552324765
Retail Store/Trading,Port Harcourt,455.18050423500904,45518.05042350091,16.138503731633456,62.79956465470423,4.8,4.0525329793002935,3585296.154349586,546216.6050820109,15.234908960570953,6.5638725022123365
Agro-processing Unit,Lagos,3536.1712064723397,353617.12064723397,9.382257297280798,114.99065519191095,5.0,30.223685525404612,20138477.637032446,4243405.447766808,21.07113320206316,4.745829236664338
Retail Store/Trading,Abuja,757.3897322913206,75738.97322913205,13.547314161358608,532.6096074398791,5.5,5.884924104827665,4357392.399040471,908867.6787495846,20.85806361964839,4.794308897677326
Agro-processing Unit,Kaduna,3337.6776095097143,333767.76095097145,15.641771164618183,205.11901491421855,6.0,23.772632546365486,18635886.924503706,4005213.1314116577,21.491937290869352,4.6529076763351656
Retail Store/Trading,Enugu,341.9516350237783,34195.16350237783,15.0073770196903,493.7591065969952,5.1,2.865356418835079,2522192.179961739,410341.9620285339,16.26925835741663,6.146561681123789
Retail Store/Trading,Kaduna,992.4041136005386,99240.41136005385,10.951412122937118,254.60994718603075,6.0,7.068405367525203,4225821.477560624,1190884.9363206462,28.181146379332866,3.548471685784108
Bakery/Food Processing,Kaduna,2119.9020332613945,211990.20332613945,10.089642483036215,561.9165290819606,6.0,15.099017330921614,12055846.49408591,2543882.4399136733,21.100819765427463,4.73915236998728
Small Manufacturing Plant,Ibadan,5504.444631450541,550444.4631450542,11.147928328500221,462.97908728532354,5.3,44.38352387881423,31438014.341040917,6605333.55774065,21.01065762641912,4.759489292436924
Salon/Personal Services,Lagos,640.4528681550435,64045.28681550435,7.237486426031191,546.4040986737616,5.0,5.473956138077295,3325006.0723685855,768543.4417860522,23.11404626213438,4.326373620001826
Salon/Personal Services,Lagos,478.41404209110715,47841.40420911071,15.917489593292899,226.02728056683645,5.0,4.0890089067616,3314725.3673725678,574096.8505093285,17.319590218853907,5.773808660388577
Salon/Personal Services,Lagos,732.0900985225303,73209.00985225303,10.670420144809958,55.960708314164094,5.0,6.257180329252396,4510731.920177677,878508.1182270364,19.475954984095623,5.134536410751699
Small Manufacturing Plant,Ibadan,5668.836917467423,566883.6917467422,7.095440121433603,225.62250067472817,5.3,45.709054325652495,34939522.4731903,6802604.300960907,19.469654475617585,5.13619798056678
Welding Shop/Technical Services,Lagos,2900.12393410161,290012.39341016096,17.407285763250673,365.3908384678074,5.0,24.78738405215051,15595241.145151343,3480148.720921932,22.31545308296776,4.481199625578065
Agro-processing Unit,Abuja,3079.5930304244985,307959.3030424499,11.381346263739838,211.26592443393548,5.5,23.928461774860125,16570689.03124715,3695511.6365093985,22.301496513155346,4.484004019237515
Agro-processing Unit,Kano,2321.6613634247897,232166.13634247897,14.07022147292446,463.805991190724,6.2,16.00262864229935,11953030.648872437,2785993.636109748,23.30784315668561,4.290401275131116
Salon/Personal Services,Abuja,664.5263784218015,66452.63784218015,15.475417713534647,100.1633566767797,5.5,5.1633751237125205,3417970.1321454975,797431.6541061618,23.330562388665612,4.28622329518219
Other,Ibadan,1140.5145179943884,114051.45179943883,6.690705120199731,352.2408852780545,5.3,9.196214465363557,5327817.800873114,1368617.421593266,25.688142364196075,3.8928466909845216
Other,Kano,1050.601852334741,105060.18523347408,16.652450193099597,243.0032569036433,6.2,7.241534686619388,6406268.5357733015,1260722.222801689,19.67950946423302,5.0814274706261005
Retail Store/Trading,Enugu,293.6536131420847,29365.36131420847,7.71590018463403,468.83084744460973,5.1,2.4606470013581756,1733739.9281582516,352384.33577050164,20.325097787004236,4.920025529419076
Other,Kaduna,1350.9707076376437,135097.07076376438,7.2134721134734825,96.25874336324858,6.0,9.622298487447605,7635949.591294333,1621164.8491651725,21.23069082348901,4.710162322620372
Agro-processing Unit,Abuja,3252.4228286478,325242.28286478,6.873156076370322,502.0230326096959,5.5,25.271350649944054,16790762.429784253,3902907.39437736,23.244372676336585,4.302116533426723
Other,Kano,1500.6117861660437,150061.17861660436,6.976185367702797,96.66074274685556,6.2,10.343340130728174,6640969.51598148,1800734.1433992523,27.115530933635355,3.687923361882447
Salon/Personal Services,Abuja,791.3157260257641,79131.57260257642,10.491249549073444,253.85318088679,5.5,6.148529339749526,4075649.3239642237,949578.871230917,23.298836473676275,4.292059825089678
Agro-processing Unit,Ibadan,3531.9989181437563,353199.89181437565,17.366982928606305,592.300585102579,5.3,28.479268812641156,18901082.892561413,4238398.701772507,22.424105147121193,4.45948675962385
